name,country,x,y,geometry,bidding_zone,NUTS_NAME,NUTS_ID
CH0 6,CH,8.223972471549605,47.361205165079305,POINT (8.223972471549605 47.361205165079305),1867.0,Schweiz/Suisse/Svizzera,CH0
CH0 7,CH,8.805647051369585,46.30498464769924,POINT (8.805647051369585 46.30498464769924),1867.0,Schweiz/Suisse/Svizzera,CH0
CH0 8,CH,8.199577249999997,46.5814355,POINT (8.199577249999997 46.5814355),1867.0,Schweiz/Suisse/Svizzera,CH0
CH0 9,CH,10.1911925,46.590988,POINT (10.1911925 46.590988),1924.0,Nord-Ovest,ITC
CZ0 0,CZ,13.998870666666669,49.55319866666667,POINT (13.998870666666669 49.55319866666667),1888.0,Česko,CZ0
CZ0 1,CZ,16.351776,49.432413,POINT (16.351776 49.432413),1888.0,Česko,CZ0
CZ0 10,CZ,18.3955765,49.72748325,POINT (18.3955765 49.72748325),1888.0,Česko,CZ0
CZ0 11,CZ,13.254122572201126,49.71442844179077,POINT (13.254122572201126 49.71442844179077),1888.0,Česko,CZ0
CZ0 12,CZ,16.7381252114461,49.86157236431913,POINT (16.7381252114461 49.86157236431913),1888.0,Česko,CZ0
CZ0 13,CZ,17.479021509465902,49.38605795387155,POINT (17.479021509465902 49.38605795387155),1888.0,Česko,CZ0
CZ0 14,CZ,14.458008,50.591084,POINT (14.458008 50.591084),1888.0,Česko,CZ0
CZ0 15,CZ,15.639038,49.402037,POINT (15.639038 49.402037),1888.0,Česko,CZ0
CZ0 16,CZ,16.789169,48.9914585,POINT (16.789169 48.9914585),1888.0,Česko,CZ0
CZ0 17,CZ,13.8887785,50.465225,POINT (13.8887785 50.465225),1888.0,Česko,CZ0
CZ0 18,CZ,15.234280154017076,50.54520205907807,POINT (15.234280154017076 50.54520205907807),1888.0,Česko,CZ0
CZ0 19,CZ,14.70245946568965,49.31884904206435,POINT (14.70245946568965 49.31884904206435),1888.0,Česko,CZ0
CZ0 2,CZ,17.722320500000002,49.839234,POINT (17.722320500000002 49.839234),1888.0,Česko,CZ0
CZ0 3,CZ,13.484214424615834,50.1704640059541,POINT (13.484214424615834 50.1704640059541),1888.0,Česko,CZ0
CZ0 4,CZ,14.835663,50.083582,POINT (14.835663 50.083582),1888.0,Česko,CZ0
CZ0 5,CZ,15.596008333333335,50.17147866666667,POINT (15.596008333333335 50.17147866666667),1888.0,Česko,CZ0
CZ0 6,CZ,12.794952,50.159305,POINT (12.794952 50.159305),1888.0,Česko,CZ0
CZ0 7,CZ,14.3028255,49.0948575,POINT (14.3028255 49.0948575),1888.0,Česko,CZ0
CZ0 8,CZ,14.372177,50.0072875,POINT (14.372177 50.0072875),1888.0,Česko,CZ0
