,index,name,country_y,LON,LAT,geometry_y,bidding_zone_y,NUTS_NAME,NUTS_ID
452,452,PL0 3,PL,16473999.0,51827291,POINT (16473999 51827291),PL,Makroregion północno-zachodni,PL4
453,453,PL0 30,PL,2145492567.0,5059649267,POINT (2145492567 5059649267),PL,Makroregion centralny,PL7
454,454,PL0 31,PL,1846918982.0,5419966487,POINT (1846918982 5419966487),PL,Makroregion północny,PL6
455,455,PL0 32,PL,1786961713.0,5080961655,POINT (1786961713 5080961655),PL,Makroregion południowo-zachodni,PL5
456,456,PL0 33,PL,233006285.0,509249225,POINT (233006285 509249225),PL,Makroregion wschodni,PL8
457,457,PL0 34,PL,18657532.0,532601555,POINT (18657532 532601555),PL,Makroregion północny,PL6
458,458,PL0 35,PL,1929485993.0,5050119131,POINT (1929485993 5050119131),PL,Makroregion południowy,PL2
459,459,PL0 36,PL,17767639.0,51623132,POINT (17767639 51623132),PL,Makroregion północno-zachodni,PL4
460,460,PL0 37,PL,21034698.0,51317739,POINT (21034698 51317739),PL,Makroregion województwo mazowieckie,PL9
461,461,PL0 38,PL,153499605.0,509500565,POINT (153499605 509500565),PL,Makroregion południowo-zachodni,PL5
462,462,PL0 39,PL,16858521.0,5316571,POINT (16858521 5316571),PL,Makroregion północno-zachodni,PL4
463,463,PL0 4,PL,22567978.0,512261935,POINT (22567978 512261935),PL,Makroregion wschodni,PL8
464,464,PL0 40,PL,1851151103.0,5006329156,POINT (1851151103 5006329156),PL,Makroregion południowy,PL2
465,465,PL0 41,PL,16826935.0,50561432,POINT (16826935 50561432),PL,Makroregion południowo-zachodni,PL5
466,466,PL0 42,PL,2178268433.0,51464709,POINT (2178268433 51464709),PL,Makroregion województwo mazowieckie,PL9
467,467,PL0 43,PL,1611557.0,54132674,POINT (1611557 54132674),PL,Makroregion północno-zachodni,PL4
468,468,PL0 44,PL,15991974.0,515381355,POINT (15991974 515381355),PL,Makroregion południowo-zachodni,PL5
469,469,PL0 45,PL,2073617565.0,5221152022,POINT (2073617565 5221152022),PL,Makroregion województwo mazowieckie,PL9
470,470,PL0 46,PL,16890106.0,54510718,POINT (16890106 54510718),PL,Makroregion północny,PL6
471,471,PL0 5,PL,18930817.0,52694697,POINT (18930817 52694697),PL,Makroregion północny,PL6
472,472,PL0 6,PL,1894851689.0,5026209633,POINT (1894851689 5026209633),PL,Makroregion południowy,PL2
473,473,PL0 7,PL,18104095.0,54714309,POINT (18104095 54714309),PL,Makroregion północny,PL6
474,474,PL0 8,PL,220296475.0,50339803,POINT (220296475 50339803),PL,Makroregion wschodni,PL8
475,475,PL0 9,PL,1506820667.0,5272824267,POINT (1506820667 5272824267),PL,Makroregion północno-zachodni,PL4
