,p_nom_max,weight,p_nom,capital_cost,carrier,efficiency,co2_fac,p_nom_extendable,bus,marginal_cost,control,p_nom_opt,type,p_nom_min,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,index,old_index,country,bidding_zone
2002,inf,0.0,48.7,0.0,oil,0.393,0.36,False,GB5 22,130.2264631,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,270,GB5 22,UK,UK
2003,12771.93492,4158.821243,0.0,109295.5693,onwind,1.0,0.0,True,GB5 22,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,270,GB5 22,UK,UK
2004,inf,328.1,328.1,270940.7153,ror,0.9,0.0,False,GB5 22,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,270,GB5 22,UK,UK
2005,3349.921021,238.4601846,0.0,55064.07142,solar,1.0,0.0,True,GB5 22,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,270,GB5 22,UK,UK
2006,inf,0.0,56.0,0.0,CCGT,0.5,0.2052,False,GB5 23,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,271,GB5 23,UK,UK
2007,inf,0.0,1960.0,0.0,coal,0.464,0.3384,False,GB5 23,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,271,GB5 23,UK,UK
2008,1604.901153,578.4113553,0.0,109295.5693,onwind,1.0,0.0,True,GB5 23,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,271,GB5 23,UK,UK
2009,1678.483491,152.2519811,0.0,55064.07142,solar,1.0,0.0,True,GB5 23,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,271,GB5 23,UK,UK
2010,3462.643867,1149.533292,0.0,109295.5693,onwind,1.0,0.0,True,GB5 24,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,272,GB5 24,UK,UK
2011,2448.525546,199.0976212,0.0,55064.07142,solar,1.0,0.0,True,GB5 24,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,272,GB5 24,UK,UK
