index;name;country_y;LON;LAT;geometry_y;bidding_zone_y;NUTS_NAME;NUTS_ID;BZ2;p_nom;carrier;marginal_cost;efficiency
104;DE0 15;DE;13099823;5408076;POINT (13099823 5408076);DE;Mecklenburg-Vorpommern;DE8;DEII1;75;CCGT;47.2;0.5
104;DE0 15;DE;13099823;5408076;POINT (13099823 5408076);DE;Mecklenburg-Vorpommern;DE8;DEII1;9.8;biomass;1.495.726.496;0.468
104;DE0 15;DE;13099823;5408076;POINT (13099823 5408076);DE;Mecklenburg-Vorpommern;DE8;DEII1;0;offwind-ac;0.015;1
104;DE0 15;DE;13099823;5408076;POINT (13099823 5408076);DE;Mecklenburg-Vorpommern;DE8;DEII1;0;offwind-dc;0.015;1
104;DE0 15;DE;13099823;5408076;POINT (13099823 5408076);DE;Mecklenburg-Vorpommern;DE8;DEII1;0;onwind;0.015;1
104;DE0 15;DE;13099823;5408076;POINT (13099823 5408076);DE;Mecklenburg-Vorpommern;DE8;DEII1;0;solar;0.01;1
105;DE0 150;DE;712738;52213497;POINT (712738 52213497);DE;Nordrhein-Westfalen;DEA;DEII2;0;onwind;0.015;1
105;DE0 150;DE;712738;52213497;POINT (712738 52213497);DE;Nordrhein-Westfalen;DEA;DEII2;0;solar;0.01;1
106;DE0 151;DE;1366441134;5257637646;POINT (1366441134 5257637646);DE;Brandenburg;DE4;DEII1;0;onwind;0.015;1
106;DE0 151;DE;1366441134;5257637646;POINT (1366441134 5257637646);DE;Brandenburg;DE4;DEII1;0.16;ror;0;0.9
106;DE0 151;DE;1366441134;5257637646;POINT (1366441134 5257637646);DE;Brandenburg;DE4;DEII1;0;solar;0.01;1
107;DE0 152;DE;1103678561;4999407122;POINT (1103678561 4999407122);DE;Bayern;DE2;DEII2;0;onwind;0.015;1
107;DE0 152;DE;1103678561;4999407122;POINT (1103678561 4999407122);DE;Bayern;DE2;DEII2;0.262;ror;0;0.9
107;DE0 152;DE;1103678561;4999407122;POINT (1103678561 4999407122);DE;Bayern;DE2;DEII2;0;solar;0.01;1
108;DE0 153;DE;6871630329;514928608;POINT (6871630329 514928608);DE;Nordrhein-Westfalen;DEA;DEII2;1095;coal;2.410.344.828;0.464
108;DE0 153;DE;6871630329;514928608;POINT (6871630329 514928608);DE;Nordrhein-Westfalen;DEA;DEII2;0;onwind;0.015;1
108;DE0 153;DE;6871630329;514928608;POINT (6871630329 514928608);DE;Nordrhein-Westfalen;DEA;DEII2;1.033;ror;0;0.9
108;DE0 153;DE;6871630329;514928608;POINT (6871630329 514928608);DE;Nordrhein-Westfalen;DEA;DEII2;0;solar;0.01;1
109;DE0 154;DE;1145462;51606077;POINT (1145462 51606077);DE;Sachsen-Anhalt;DEE;DEII1;0;onwind;0.015;1
109;DE0 154;DE;1145462;51606077;POINT (1145462 51606077);DE;Sachsen-Anhalt;DEE;DEII1;0;solar;0.01;1
110;DE0 155;DE;11597443;50895238;POINT (11597443 50895238);DE;Thüringen;DEG;DEII1;182;CCGT;47.2;0.5
110;DE0 155;DE;11597443;50895238;POINT (11597443 50895238);DE;Thüringen;DEG;DEII1;0;onwind;0.015;1
110;DE0 155;DE;11597443;50895238;POINT (11597443 50895238);DE;Thüringen;DEG;DEII1;2.2;ror;0;0.9
110;DE0 155;DE;11597443;50895238;POINT (11597443 50895238);DE;Thüringen;DEG;DEII1;0;solar;0.01;1
111;DE0 156;DE;83166505;510447075;POINT (83166505 510447075);DE;Nordrhein-Westfalen;DEA;DEII2;0;onwind;0.015;1
111;DE0 156;DE;83166505;510447075;POINT (83166505 510447075);DE;Nordrhein-Westfalen;DEA;DEII2;0.484;ror;0;0.9
111;DE0 156;DE;83166505;510447075;POINT (83166505 510447075);DE;Nordrhein-Westfalen;DEA;DEII2;0;solar;0.01;1
112;DE0 157;DE;10449371;53350466;POINT (10449371 53350466);DE;Niedersachsen;DE9;DEII1;1.251.444.712;nuclear;1.690.207.715;0.337
112;DE0 157;DE;10449371;53350466;POINT (10449371 53350466);DE;Niedersachsen;DE9;DEII1;0;onwind;0.015;1
112;DE0 157;DE;10449371;53350466;POINT (10449371 53350466);DE;Niedersachsen;DE9;DEII1;0;solar;0.01;1
113;DE0 158;DE;85075375;499109345;POINT (85075375 499109345);DE;Hessen;DE7;DEII2;94.6;OCGT;5.838.461.538;0.39
113;DE0 158;DE;85075375;499109345;POINT (85075375 499109345);DE;Hessen;DE7;DEII2;0;onwind;0.015;1
113;DE0 158;DE;85075375;499109345;POINT (85075375 499109345);DE;Hessen;DE7;DEII2;0;solar;0.01;1
114;DE0 159;DE;984375;48243882;POINT (984375 48243882);DE;Baden-Württemberg;DE1;DEII2;4;OCGT;5.838.461.538;0.39
114;DE0 159;DE;984375;48243882;POINT (984375 48243882);DE;Baden-Württemberg;DE1;DEII2;34.4;biomass;1.495.726.496;0.468
114;DE0 159;DE;984375;48243882;POINT (984375 48243882);DE;Baden-Württemberg;DE1;DEII2;20.7;coal;2.410.344.828;0.464
114;DE0 159;DE;984375;48243882;POINT (984375 48243882);DE;Baden-Württemberg;DE1;DEII2;0;onwind;0.015;1
